,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_est__alpha,param_fs__features,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
113,0.05750894546508789,0.01823356344283294,0.04141608874003092,0.012610307638244738,10,"['power', 'wind_speed', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-57.837048420003505,-52.337475491069185,-52.474977096156735,-54.21650033574315,2.560729452803303,1
114,0.04645538330078125,0.009963598296233618,0.03174567222595215,0.005714499573794537,10,"['power', 'wind_direction', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_direction', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-60.010049606689044,-53.96736026149945,-53.3848096162955,-55.787406494828,2.9953160602477933,109
115,0.04589557647705078,0.01267307810406213,0.043096065521240234,0.004698445201985427,10,"['power', 'wind_speed', 'wind_direction', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'wind_direction', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-58.09133217557784,-52.34784898907053,-52.52981608192327,-54.32299908219054,2.665649230832732,21
116,0.05497272809346517,0.017012380694177345,0.023284276326497395,0.0024908166252985125,10,"['power', 'rotor_speed', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'rotor_speed', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-59.75963945344133,-53.75674557194155,-53.46352570136985,-55.659970242250914,2.9013744104029415,77
117,0.07717434565226237,0.01470635025377322,0.035442352294921875,0.005959612502561467,10,"['power', 'wind_speed', 'rotor_speed', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'rotor_speed', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-57.71430620506971,-55.13030360884494,-52.58912375232682,-55.14457785541382,2.092371319669343,33
118,0.06538661321004231,0.027818872152796634,0.04888359705607096,0.022203302258994674,10,"['power', 'wind_direction', 'rotor_speed', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_direction', 'rotor_speed', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-60.02628432154572,-53.86181283170509,-53.37877550836086,-55.75562422053722,3.0262445966021216,95
119,0.07831239700317383,0.010871612881035409,0.047539313634236656,0.018885087154503117,10,"['power', 'wind_speed', 'wind_direction', 'rotor_speed', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'wind_direction', 'rotor_speed', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-57.70411286138124,-55.436132850465015,-52.70479776955003,-55.28168116046543,2.0438818198484685,49
120,0.10279711087544759,0.10149869175068293,0.058009942372639976,0.027253710619197145,10,"['power', 'air_density', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'air_density', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-59.704129667945686,-53.88182668666119,-53.51253086561102,-55.69949574007263,2.835714433561703,87
121,0.1561872959136963,0.09673223315352353,0.02594439188639323,0.002720349958006165,10,"['power', 'wind_speed', 'air_density', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'air_density', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-57.83956567572801,-52.33763702730212,-52.4758915679336,-54.21769809032124,2.561669011167847,5
122,0.06743407249450684,0.025113749053563304,0.05361278851826986,0.01810399399068019,10,"['power', 'wind_direction', 'air_density', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_direction', 'air_density', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-60.01068139247816,-53.969354940417965,-53.384820115190145,-55.78828548269542,2.9952062427250343,113
