,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_est__alpha,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30,0.4564505418141683,0.025153397004074974,0.30293695131937665,0.1594392911830458,100,hourly,1,"{'est__alpha': 100, 'st__horizon': 'hourly', 'st__window_size': 1}",-284.910248428296,-271.3016588068269,-281.1321407549277,-279.1146826633502,5.73591205969564,48
31,0.6595110098520914,0.2674214983080238,0.38952159881591797,0.13480209089813316,100,hourly,2,"{'est__alpha': 100, 'st__horizon': 'hourly', 'st__window_size': 2}",-280.8023400834545,-268.00393160207994,-277.5711475940551,-275.4591397598632,5.4341664636996,44
32,0.8401963710784912,0.27808358651050147,0.3700089454650879,0.11512115032005599,100,hourly,3,"{'est__alpha': 100, 'st__horizon': 'hourly', 'st__window_size': 3}",-278.2317451002952,-266.0054901983333,-275.51990019541506,-273.25237849801454,5.242554607445597,40
33,0.6254250208536783,0.23506596163316235,0.3807086944580078,0.06381658321010862,100,daily,1,"{'est__alpha': 100, 'st__horizon': 'daily', 'st__window_size': 1}",-610.7002064771107,-568.550584342624,-604.999409713183,-594.7500668443059,18.6714476041692,69
34,0.595360279083252,0.10295031224665165,0.28364022572835285,0.019548217547910904,100,daily,2,"{'est__alpha': 100, 'st__horizon': 'daily', 'st__window_size': 2}",-610.34504044427,-568.3129266163382,-604.6674828841101,-594.4418166482395,18.620738182406942,65
35,0.7704577445983887,0.29952714185548734,0.3905947208404541,0.009332345817918492,100,daily,3,"{'est__alpha': 100, 'st__horizon': 'daily', 'st__window_size': 3}",-610.1305178885461,-568.159868672014,-604.5058571194434,-594.2654145600012,18.601681765801423,61
36,1.0075349807739258,0.28438565200010096,0.41390665372212726,0.07011350899133975,1,10min,4,"{'est__alpha': 1, 'st__horizon': '10min', 'st__window_size': 4}",-156.52763541649105,-146.6151295882286,-149.52890883370353,-150.89055794614106,4.1597282906367585,8
37,1.2133599122365315,0.4964905786937038,0.5840010643005371,0.086094078620896,1,10min,6,"{'est__alpha': 1, 'st__horizon': '10min', 'st__window_size': 6}",-156.15492091875362,-146.33266928162126,-149.28421259600543,-150.59060093212676,4.1149438772481215,4
38,1.7567339738210042,0.5823454161700905,0.7685608069101969,0.00701705342585494,1,10min,8,"{'est__alpha': 1, 'st__horizon': '10min', 'st__window_size': 8}",-156.0614984485921,-146.212937972449,-149.1517482400388,-150.47539488702662,4.12816070404432,2
39,0.9213043053944906,0.3775283494828105,0.7073330084482828,0.32682235841191626,1,hourly,4,"{'est__alpha': 1, 'st__horizon': 'hourly', 'st__window_size': 4}",-276.7575480915049,-265.12013460307355,-274.4331257511364,-272.1036028152383,5.0284096894105845,34
